"Qty";"Value";"Device";"Package";"Parts";"Description";"DIGIKEY";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PROD_ID";"SF_ID";"SUPPLIER";"TOLERANCE";"VALUE";"WATTAGE";
"1";"";"DIODE[SCHOTKY]-SOD123W";"SOD123W";"D1";"";"SS15FACT-ND";"";"";"";"";"";"";"";"";"";"";
"1";"";"PINHD-1X10/90";"1X10/90";"JP1";"PIN HEADER";"S5446-ND";"";"";"";"";"";"";"";"";"";"";
"1";"100K Ohms";"RC0603JR-07100KL";"RESC1608X60N";"R1";"RESISTOR, 0603";"311-100KGRCT-ND";"RC0603JR-07100KL";"9233628";"98K7287";"";"";"";"Yageo";"±5%";"100K Ohms";"1/10 W";
"1";"100K Ohms";"RC0603JR-07100KL";"RESC1608X60N";"R2";"RESISTOR, 0603";"";"RC0603JR-07100KL";"9233628";"98K7287";"";"";"";"Yageo";"±5%";"100K Ohms";"1/10 W";
"1";"10uF";"CAPACITOR";"0402_CAP";"C2";"0402 Capacitor";"490-10693-1-ND";"";"";"";"";"";"";"";"";"";"";
"1";"2.2uF";"CAPACITOR";"0402_CAP";"C1";"0402 Capacitor";"490-3296-1-ND";"";"";"";"";"";"";"";"";"";"";
"1";"5.5x2.1mm Barrel";"POWER_JACKSMD";"POWER_JACK_SMD";"J1";"Power Jack";"CP-002AHPJCT-ND";"";"";"";"";"CONN-08106";"PRT-12748";"";"";"5.5x2.1mm Barrel";"";
"1";"FDN340P";"FDN340P";"SSOT-3";"Q1";"P-Channel MOSFET";"FDN340PCT-ND";"";"";"";"";"";"";"";"";"";"";
"1";"KEYSTONEELECTRONICS2462";"KEYSTONEELECTRONICS2462";"KEYSTONEELECTRONICS2462";"BATTERY";"";"36-2462-ND";"";"";"";"";"";"";"";"";"";"";
"1";"LTC3531ES6-3PBF";"LTC3531ES6-3PBF";"SOT95P280X100-6N";"U2";"DC/DC Converters";"LTC3531ES6-3.3#TRMPBFCT-ND";"LTC3531ES6-3#PBF";"-";"46P4583";"TSOT-23-6";"";"";"Linear Technology";"";"";"";
"1";"MAX6326UR29+";"MAX6326UR29+";"SOT95P228X119-3N";"U3";"3-Pin, Ultra-Low-Power SC70/SOT ìP Reset Circuits";"MAX6326UR29+TCT-ND";"MAX6326UR29+";"9723951";"-";"SOT-23-3";"";"";"Maxim";"";"";"";
"1";"NUCLEUM";"NUCLEUM";"NUCLEUM";"U1";"Nucleum sensorboard prototyping module.";"";"";"";"";"";"";"";"";"";"";"";
"1";"UMICH_SOLID_LARGE";"UMICH_SOLID_LARGE";"UMICH_SOLID_350MIL";"LOGO1";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"VLF302510MT";"VLF302510MT";"VLF302510MT";"L1";"POWER INDUCTOR";"445-6775-1-ND";"";"";"";"";"";"";"";"";"";"";
